1 	 1	 1	1
2 	 4	 2	0
3 	 9	 3	0
4 	 16	 4	0
5 	 25	 5	0
6 	 36	 6	0
7 	 49	 7	0
8 	 64	 8	0
9 	 81	 9	0
10 	 100	 10	0
11 	 121	 11	0
12 	 144	 12	0
13 	 169	 13	0
14 	 196	 14	0
15 	 225	 15	0
16 	 256	 16	0
17 	 289	 17	0
18 	 324	 18	0
19 	 361	 19	0
20 	 400	 20	0
21 	 441	 21	0
22 	 484	 22	0
23 	 529	 23	0
24 	 576	 24	0
25 	 625	 25	0
26 	 676	 26	0
27 	 729	 27	0
28 	 784	 28	0
29 	 841	 29	0
30 	 900	 30	0
31 	 961	 31	0
32 	 1024	 32	0
33 	 1089	 33	0
34 	 1156	 34	0
35 	 1225	 35	0
36 	 1296	 36	0
37 	 1369	 37	0
38 	 1444	 38	0
39 	 1521	 39	0
40 	 1600	 40	0
41 	 1681	 41	0
42 	 1764	 42	0
43 	 1849	 43	0
44 	 1936	 44	0
45 	 2025	 45	0
46 	 2116	 46	0
47 	 2209	 47	0
48 	 2304	 48	0
49 	 2401	 49	0
50 	 2500	 50	0
51 	 2601	 51	0
52 	 2704	 52	0
53 	 2809	 53	0
54 	 2916	 54	0
55 	 3025	 55	0
56 	 3136	 56	0
57 	 3249	 57	0
58 	 3364	 58	0
59 	 3481	 59	0
60 	 3600	 60	0
61 	 3721	 61	0
62 	 3844	 62	0
63 	 3969	 63	0
64 	 4096	 64	0
65 	 4225	 65	0
66 	 4356	 66	0
67 	 4489	 67	0
68 	 4624	 68	0
69 	 4761	 69	0
70 	 4900	 70	0
71 	 5041	 71	0
72 	 5184	 72	0
73 	 5329	 73	0
74 	 5476	 74	0
75 	 5625	 75	0
76 	 5776	 76	0
77 	 5929	 77	0
78 	 6084	 78	0
79 	 6241	 79	0
80 	 6400	 80	0
81 	 6561	 81	0
82 	 6724	 82	0
83 	 6889	 83	0
84 	 7056	 84	0
85 	 7225	 85	0
86 	 7396	 86	0
87 	 7569	 87	0
88 	 7744	 88	0
89 	 7921	 89	0
90 	 8100	 90	0
91 	 8281	 91	0
92 	 8464	 92	0
93 	 8649	 93	0
94 	 8836	 94	0
95 	 9025	 95	0
96 	 9216	 96	0
97 	 9409	 97	0
98 	 9604	 98	0
99 	 9801	 99	0
100 	 10000	 100	0
1 	 1	 1	1
2 	 3	 2	3
3 	 5	 3	5
4 	 7	 4	7
5 	 9	 5	9
6 	 11	 6	11
7 	 13	 7	13
8 	 15	 8	15
9 	 17	 9	17
10 	 19	 10	19
11 	 21	 11	21
12 	 23	 12	23
13 	 25	 13	25
14 	 27	 14	27
15 	 29	 15	29
16 	 31	 16	31
17 	 33	 17	33
18 	 35	 18	35
19 	 37	 19	37
20 	 39	 20	39
21 	 41	 21	41
22 	 43	 22	43
23 	 45	 23	45
24 	 47	 24	47
25 	 49	 25	49
26 	 51	 26	51
27 	 53	 27	53
28 	 55	 28	55
29 	 57	 29	57
30 	 59	 30	59
31 	 61	 31	61
32 	 63	 32	63
33 	 65	 33	65
34 	 67	 34	67
35 	 69	 35	69
36 	 71	 36	71
37 	 73	 37	73
38 	 75	 38	75
39 	 77	 39	77
40 	 79	 40	79
41 	 81	 41	81
42 	 83	 42	83
43 	 85	 43	85
44 	 87	 44	87
45 	 89	 45	89
46 	 91	 46	91
47 	 93	 47	93
48 	 95	 48	95
49 	 97	 49	97
50 	 99	 50	99
51 	 101	 51	101
52 	 103	 52	103
53 	 105	 53	105
54 	 107	 54	107
55 	 109	 55	109
56 	 111	 56	111
57 	 113	 57	113
58 	 115	 58	115
59 	 117	 59	117
60 	 119	 60	119
61 	 121	 61	121
62 	 123	 62	123
63 	 125	 63	125
64 	 127	 64	127
65 	 129	 65	129
66 	 131	 66	131
67 	 133	 67	133
68 	 135	 68	135
69 	 137	 69	137
70 	 139	 70	139
71 	 141	 71	141
72 	 143	 72	143
73 	 145	 73	145
74 	 147	 74	147
75 	 149	 75	149
76 	 151	 76	151
77 	 153	 77	153
78 	 155	 78	155
79 	 157	 79	157
80 	 159	 80	159
81 	 161	 81	161
82 	 163	 82	163
83 	 165	 83	165
84 	 167	 84	167
85 	 169	 85	169
86 	 171	 86	171
87 	 173	 87	173
88 	 175	 88	175
89 	 177	 89	177
90 	 179	 90	179
91 	 181	 91	181
92 	 183	 92	183
93 	 185	 93	185
94 	 187	 94	187
95 	 189	 95	189
96 	 191	 96	191
97 	 193	 97	193
98 	 195	 98	195
99 	 197	 99	197
100 	 199	 100	199
